#                  name    selected         comp(a)    formation_energy    hull_dist(MASTER,atom_frac)        clex()    clex_hull_dist(MASTER,atom_frac)
    SCEL1_1_1_1_0_0_0/0           1      1.00000000         -0.00000000                     0.00000000    0.00496511                          0.00000000
    SCEL1_1_1_1_0_0_0/1           1      0.00000000         0.00000000                      0.00000000    -0.00974241                         0.00000000
    SCEL2_2_1_1_0_0_1/0           1      0.50000000         -0.03362458                     0.07908787    -0.03062829                         0.07837805
    SCEL2_2_1_1_0_1_1/0           1      0.50000000         -0.05306719                     0.06612613    -0.05176144                         0.06428928
    SCEL3_3_1_1_0_0_2/0           1      0.66666667         -0.07657772                     0.02815741    -0.08220434                         0.02360586
    SCEL3_3_1_1_0_0_2/1           1      0.33333333         -0.00247946                     0.07507910    0.00307054                          0.07883619
    SCEL3_3_1_1_0_2_1/0           1      0.66666667         -0.11653362                     0.00418387    -0.11486237                         0.00401104
    SCEL3_3_1_1_0_2_1/1           1      0.33333333         -0.07168021                     0.02317854    -0.07327790                         0.02157486
    SCEL3_3_1_1_0_2_2/0           1      0.66666667         0.00297396                      0.07588842    0.00095962                          0.07350424
    SCEL3_3_1_1_0_2_2/1           1      0.33333333         -0.01113396                     0.06858823    -0.01433991                         0.06577835
    SCEL4_2_2_1_0_1_0/0           1      0.75000000         -0.09173820                     0.00946179    -0.09264049                         0.00890457
    SCEL4_2_2_1_0_1_0/1           1      0.25000000         -0.02685051                     0.04071896    -0.02494280                         0.04322088
    SCEL4_2_2_1_1_1_0/0           1      0.75000000         0.03072950                      0.07944333    0.02641220                          0.07693467
    SCEL4_2_2_1_1_1_0/1           1      0.25000000         -0.06100486                     0.01339548    -0.05883440                         0.01610759
    SCEL4_4_1_1_0_0_0/0           1      0.75000000         -0.04503584                     0.03614885    -0.03118096                         0.04402430
    SCEL4_4_1_1_0_0_0/1           1      0.50000000         0.00084257                      0.10206597    0.00261804                          0.10054227
    SCEL4_4_1_1_0_0_0/2           1      0.25000000         -0.00705429                     0.05655594    -0.00844775                         0.05641691
    SCEL4_4_1_1_0_0_2/0           1      0.75000000         -0.10660828                     0.00096460    -0.10822348                         0.00000000
    SCEL4_4_1_1_0_0_2/1           1      0.50000000         -0.06309656                     0.05943987    -0.06473196                         0.05564227
    SCEL4_4_1_1_0_0_2/2           1      0.25000000         -0.01161094                     0.05291062    -0.00850817                         0.05636857
    SCEL4_4_1_1_0_0_3/0           1      0.75000000         -0.02977428                     0.04486974    -0.03715684                         0.04060951
    SCEL4_4_1_1_0_0_3/1           1      0.50000000         -0.03937695                     0.07525295    -0.03476171                         0.07562244
    SCEL4_4_1_1_0_0_3/2           1      0.25000000         -0.01638868                     0.04908843    -0.01878519                         0.04814696
    SCEL4_4_1_1_0_1_0/0           1      0.75000000         -0.06269318                     0.02605895    -0.06662052                         0.02377312
    SCEL4_4_1_1_0_1_0/1           1      0.50000000         -0.04704055                     0.07014388    -0.05606370                         0.06142111
    SCEL4_4_1_1_0_1_0/2           1      0.25000000         -0.01975622                     0.04639440    -0.01885278                         0.04809289
    SCEL4_4_1_1_0_2_1/0           1      0.75000000         -0.05610181                     0.02982544    -0.05606762                         0.02980335
    SCEL4_4_1_1_0_2_1/1           1      0.50000000         -0.15225637                     0.00000000    -0.14819537                         0.00000000
    SCEL4_4_1_1_0_2_1/2           1      0.25000000         -0.07774921                     0.00000000    -0.07677854                         0.00175228
    SCEL5_1_1_5_0_0_0/0           1      0.80000000         -0.01392118                     0.04578569    -0.02294792                         0.04243592
    SCEL5_1_1_5_0_0_0/1           1      0.60000000         -0.01006549                     0.07808819    -0.01853942                         0.07104200
