#                  name    selected    formation_energy
    SCEL6_6_1_1_0_1_0/1           1         -0.05184693
    SCEL6_6_1_1_0_1_0/2           1         -0.05131098
    SCEL6_6_1_1_0_1_0/3           1         -0.01574693
    SCEL6_6_1_1_0_1_0/4           1         -0.07196546
    SCEL6_6_1_1_0_1_0/5           1         -0.04062529
    SCEL6_6_1_1_0_1_0/6           1         -0.02568352
    SCEL6_6_1_1_0_1_0/7           1         -0.02437557
    SCEL6_6_1_1_0_1_4/0           1         -0.07157454
    SCEL6_6_1_1_0_1_4/1           1         -0.11693225
    SCEL6_6_1_1_0_1_4/2           1         -0.04418270
    SCEL6_6_1_1_0_1_4/3           1         -0.05416483
    SCEL6_6_1_1_0_1_4/4           1         -0.07864207
    SCEL6_6_1_1_0_1_4/5           1         -0.01172924
    SCEL6_6_1_1_0_1_4/6           1         -0.05562590
    SCEL6_6_1_1_0_1_4/7           1         -0.02339373
    SCEL6_6_1_1_0_3_2/0           1         -0.03888605
    SCEL6_6_1_1_0_3_2/1           1         -0.06275188
    SCEL6_6_1_1_0_3_2/2           1         -0.01943364
    SCEL6_6_1_1_0_3_2/3           1         -0.07948790
    SCEL6_6_1_1_0_3_2/4           1         -0.04683483
    SCEL6_6_1_1_0_3_2/5           1         -0.07199977
    SCEL6_6_1_1_0_3_2/6           1         -0.05948752
    SCEL6_6_1_1_0_3_2/7           1         -0.03685401
    SCEL6_6_1_1_0_5_5/0           1         -0.02356796
    SCEL6_6_1_1_0_5_5/1           1         -0.00899322
    SCEL6_6_1_1_0_5_5/2           1         -0.04171469
    SCEL6_6_1_1_0_5_5/3           1         -0.01800171
    SCEL6_6_1_1_0_5_5/4           1         -0.01000280
    SCEL6_6_1_1_0_5_5/5           1         0.00183524
    SCEL6_6_1_1_0_5_5/6           1         -0.02229916
    SCEL6_6_1_1_0_5_5/7           1         -0.00574848
    SCEL7_7_1_1_0_0_0/0           1         -0.01538087
    SCEL7_7_1_1_0_0_0/1           1         -0.02146421
    SCEL7_7_1_1_0_0_0/2           1         -0.01524558
    SCEL7_7_1_1_0_0_0/3           1         0.00079157
    SCEL7_7_1_1_0_0_0/4           1         -0.01887973
    SCEL7_7_1_1_0_0_0/5           1         -0.02728608
    SCEL7_7_1_1_0_0_0/6           1         -0.00559505
    SCEL7_7_1_1_0_0_0/7           1         -0.02054069
    SCEL7_7_1_1_0_0_0/8           1         -0.00311618
    SCEL7_7_1_1_0_0_0/9           1         -0.00466263
    SCEL7_7_1_1_0_0_0/10          1         -0.03222530
    SCEL7_7_1_1_0_0_0/11          1         -0.00800192
    SCEL7_7_1_1_0_0_0/12          1         -0.01560519
    SCEL7_7_1_1_0_0_0/13          1         0.00274485
    SCEL7_7_1_1_0_0_0/14          1         -0.01890358
    SCEL7_7_1_1_0_0_0/15          1         -0.00445062
    SCEL7_7_1_1_0_0_6/0           1         -0.02922978
    SCEL7_7_1_1_0_0_6/1           1         -0.04890072
    SCEL7_7_1_1_0_0_6/2           1         -0.05419922
    SCEL7_7_1_1_0_0_6/3           1         -0.05432284
    SCEL7_7_1_1_0_0_6/4           1         -0.02426238
    SCEL7_7_1_1_0_0_6/6           1         -0.01311720
    SCEL7_7_1_1_0_0_6/7           1         -0.02626479
    SCEL7_7_1_1_0_0_6/8           1         -0.05602606
    SCEL7_7_1_1_0_0_6/9           1         -0.03388939
    SCEL7_7_1_1_0_0_6/10          1         -0.00793202
    SCEL7_7_1_1_0_0_6/11          1         -0.01069357
    SCEL7_7_1_1_0_0_6/12          1         -0.02130643
    SCEL7_7_1_1_0_0_6/14          1         -0.02326320
