#                  name    selected         comp(a)    formation_energy    hull_dist(MASTER,atom_frac)        clex()    clex_hull_dist(MASTER,atom_frac)
    SCEL1_1_1_1_0_0_0/0           1      1.00000000         -0.00000000                     0.00000000    0.00444972                          0.00000000
    SCEL1_1_1_1_0_0_0/1           1      0.00000000         0.00000000                      0.00000000    -0.00895476                         0.00000000
    SCEL2_2_1_1_0_0_1/0           1      0.50000000         -0.03362458                     0.07908787    -0.02983325                         0.07995574
    SCEL2_2_1_1_0_1_1/0           1      0.50000000         -0.05306719                     0.06612613    -0.05198934                         0.06518501
    SCEL3_3_1_1_0_0_2/0           1      0.66666667         -0.07657772                     0.02815741    -0.08035392                         0.02562087
    SCEL3_3_1_1_0_0_2/1           1      0.33333333         -0.00247946                     0.07507910    0.00294946                          0.07933421
    SCEL3_3_1_1_0_2_1/0           1      0.66666667         -0.11653362                     0.00418387    -0.11518174                         0.00472418
    SCEL3_3_1_1_0_2_1/1           1      0.33333333         -0.07168021                     0.02317854    -0.07116371                         0.02374934
    SCEL3_3_1_1_0_2_2/0           1      0.66666667         0.00297396                      0.07588842    0.00242231                          0.07528661
    SCEL3_3_1_1_0_2_2/1           1      0.33333333         -0.01113396                     0.06858823    -0.01543518                         0.06554573
    SCEL4_2_2_1_0_1_0/0           1      0.75000000         -0.09173820                     0.00946179    -0.09170621                         0.00953019
    SCEL4_2_2_1_0_1_0/1           1      0.25000000         -0.02685051                     0.04071896    -0.02354401                         0.04465344
    SCEL4_2_2_1_1_1_0/0           1      0.75000000         0.03072950                      0.07944333    0.02532109                          0.07640293
    SCEL4_2_2_1_1_1_0/1           1      0.25000000         -0.06100486                     0.01339548    -0.06015966                         0.01536091
    SCEL4_4_1_1_0_0_0/0           1      0.75000000         -0.04503584                     0.03614885    -0.03281351                         0.04318316
    SCEL4_4_1_1_0_0_0/1           1      0.50000000         0.00084257                      0.10206597    0.00142867                          0.10079702
    SCEL4_4_1_1_0_0_0/2           1      0.25000000         -0.00705429                     0.05655594    -0.00765000                         0.05736865
    SCEL4_4_1_1_0_0_2/0           1      0.75000000         -0.10660828                     0.00096460    -0.10838404                         0.00000000
    SCEL4_4_1_1_0_0_2/1           1      0.50000000         -0.06309656                     0.05943987    -0.05961196                         0.06010326
    SCEL4_4_1_1_0_0_2/2           1      0.25000000         -0.01161094                     0.05291062    -0.01007686                         0.05542716
    SCEL4_4_1_1_0_0_3/0           1      0.75000000         -0.02977428                     0.04486974    -0.03898810                         0.03965482
    SCEL4_4_1_1_0_0_3/1           1      0.50000000         -0.03937695                     0.07525295    -0.03351114                         0.07750381
    SCEL4_4_1_1_0_0_3/2           1      0.25000000         -0.01638868                     0.04908843    -0.01861714                         0.04859494
    SCEL4_4_1_1_0_1_0/0           1      0.75000000         -0.06269318                     0.02605895    -0.06561847                         0.02443747
    SCEL4_4_1_1_0_1_0/1           1      0.50000000         -0.04704055                     0.07014388    -0.05559873                         0.06277875
    SCEL4_4_1_1_0_1_0/2           1      0.25000000         -0.01975622                     0.04639440    -0.02205211                         0.04584696
    SCEL4_4_1_1_0_2_1/0           1      0.75000000         -0.05610181                     0.02982544    -0.05205232                         0.03218955
    SCEL4_4_1_1_0_2_1/1           1      0.50000000         -0.15225637                     0.00000000    -0.14976686                         0.00000000
    SCEL4_4_1_1_0_2_1/2           1      0.25000000         -0.07774921                     0.00000000    -0.07855878                         0.00064162
    SCEL5_1_1_5_0_0_0/0           1      0.80000000         -0.01392118                     0.04578569    -0.02260540                         0.04139896
    SCEL5_1_1_5_0_0_0/1           1      0.60000000         -0.01006549                     0.07808819    -0.01814530                         0.07224667
    SCEL5_1_1_5_0_0_0/2           1      0.60000000         -0.02458047                     0.06901632    -0.02060724                         0.07070795
    SCEL5_1_1_5_0_0_0/3           1      0.40000000         -0.02586996                     0.06898825    -0.02685829                         0.06767582
    SCEL5_1_1_5_0_0_0/4           1      0.40000000         0.00552708                      0.09141470    0.00712124                          0.09194692
    SCEL5_1_1_5_0_0_0/5           1      0.20000000         -0.00723104                     0.04580694    -0.00627081                         0.04917399
    SCEL5_5_1_1_0_0_3/0           1      0.80000000         -0.06582601                     0.01694968    -0.07515292                         0.01220589
    SCEL5_5_1_1_0_0_3/1           1      0.60000000         -0.10341008                     0.01974782    -0.09843728                         0.02206417
    SCEL5_5_1_1_0_0_3/2           1      0.60000000         -0.06946094                     0.04096603    -0.06409531                         0.04352791
    SCEL5_5_1_1_0_0_3/3           1      0.40000000         -0.04905737                     0.05242581    -0.05534693                         0.04732679
    SCEL5_5_1_1_0_0_3/4           1      0.40000000         -0.01835377                     0.07435695    -0.03010432                         0.06535723
    SCEL5_5_1_1_0_0_3/5           1      0.20000000         -0.00070143                     0.05124828    -0.00075246                         0.05377261
    SCEL5_5_1_1_0_0_4/0           1      0.80000000         -0.05730478                     0.02168370    -0.04360245                         0.02973393
    SCEL5_5_1_1_0_0_4/1           1      0.60000000         -0.06313958                     0.04491688    -0.06598050                         0.04234967
    SCEL5_5_1_1_0_0_4/2           1      0.60000000         -0.00780675                     0.07949990    -0.01980420                         0.07120985
    SCEL5_5_1_1_0_0_4/3           1      0.40000000         -0.00653565                     0.08279847    -0.00881751                         0.08056209
    SCEL5_5_1_1_0_0_4/4           1      0.40000000         -0.03432986                     0.06294547    -0.03661668                         0.06070554
    SCEL5_5_1_1_0_0_4/5           1      0.20000000         -0.00608567                     0.04676142    -0.00593284                         0.04945563
    SCEL5_5_1_1_0_1_3/0           1      0.80000000         -0.08686661                     0.00526046    -0.09118578                         0.00329875
    SCEL5_5_1_1_0_1_3/1           1      0.60000000         -0.12077771                     0.00889305    -0.11971896                         0.00876313
    SCEL5_5_1_1_0_1_3/2           1      0.40000000         -0.08110683                     0.02953334    -0.08874470                         0.02347124
    SCEL5_5_1_1_0_1_3/3           1      0.20000000         -0.03249201                     0.02475613    -0.03191815                         0.02780121
    SCEL5_5_1_1_0_4_3/0           1      0.80000000         -0.05605169                     0.02237986    -0.05590458                         0.02289941
    SCEL5_5_1_1_0_4_3/1           1      0.60000000         -0.06562321                     0.04336461    -0.06868810                         0.04065742
    SCEL5_5_1_1_0_4_3/2           1      0.60000000         -0.02911021                     0.06618524    -0.03021904                         0.06470058
    SCEL5_5_1_1_0_4_3/3           1      0.40000000         -0.04373994                     0.05622398    -0.04448078                         0.05508833
    SCEL5_5_1_1_0_4_3/4           1      0.40000000         -0.02287384                     0.07112834    -0.03181333                         0.06413651
    SCEL5_5_1_1_0_4_3/5           1      0.20000000         -0.04059812                     0.01800104    -0.03597245                         0.02442263
    SCEL6_2_3_1_0_1_0/0           1      0.83333333         -0.05572074                     0.01780405    -0.05840836                         0.01702263
    SCEL6_2_3_1_0_1_0/1           1      0.66666667         -0.08997613                     0.02011836    -0.08656792                         0.02189247
    SCEL6_2_3_1_0_1_0/2           1      0.66666667         -0.07440507                     0.02946100    -0.07251466                         0.03032442
    SCEL6_2_3_1_0_1_0/3           1      0.50000000         -0.05785490                     0.06293431    -0.05814683                         0.06108002
    SCEL6_2_3_1_0_1_0/4           1      0.50000000         -0.03580498                     0.07763426    -0.03436685                         0.07693334
    SCEL6_2_3_1_0_1_0/5           1      0.33333333         -0.01423816                     0.06626008    -0.01694412                         0.06441403
    SCEL6_2_3_1_0_1_0/6           1      0.33333333         -0.01564454                     0.06520529    -0.01420789                         0.06646620
    SCEL6_2_3_1_0_1_0/7           1      0.16666667         -0.00566128                     0.03957559    -0.00225856                         0.04597162
    SCEL6_3_1_2_0_0_0/0           1      0.83333333         -0.06066747                     0.01510583    -0.05935257                         0.01650760
    SCEL6_3_1_2_0_0_0/1           1      0.66666667         -0.07961534                     0.02633484    -0.07387977                         0.02950536
    SCEL6_3_1_2_0_0_0/2           1      0.66666667         -0.09001954                     0.02009232    -0.08286141                         0.02411637
    SCEL6_3_1_2_0_0_0/3           1      0.50000000         -0.04967265                     0.06838915    -0.05214931                         0.06507837
