#                  name    selected         comp(a)    formation_energy    hull_dist(MASTER,atom_frac)        clex()    clex_hull_dist(MASTER,atom_frac)
    SCEL1_1_1_1_0_0_0/0           1      1.00000000         -0.00000000                     0.00000000    0.00494789                          0.00000000
    SCEL1_1_1_1_0_0_0/1           1      0.00000000         0.00000000                      0.00000000    -0.01111722                         0.00000000
    SCEL2_2_1_1_0_0_1/0           1      0.50000000         -0.03362458                     0.07908787    -0.02976435                         0.07939220
    SCEL2_2_1_1_0_1_1/0           1      0.50000000         -0.05306719                     0.06612613    -0.04976877                         0.06605592
    SCEL3_3_1_1_0_0_2/0           1      0.66666667         -0.07657772                     0.02815741    -0.07887453                         0.02645665
    SCEL3_3_1_1_0_0_2/1           1      0.33333333         -0.00247946                     0.07507910    0.00266700                          0.07920588
    SCEL3_3_1_1_0_2_1/0           1      0.66666667         -0.11653362                     0.00418387    -0.11362238                         0.00560795
    SCEL3_3_1_1_0_2_1/1           1      0.33333333         -0.07168021                     0.02317854    -0.07139132                         0.02366215
    SCEL3_3_1_1_0_2_2/0           1      0.66666667         0.00297396                      0.07588842    0.00004969                          0.07381119
    SCEL3_3_1_1_0_2_2/1           1      0.33333333         -0.01113396                     0.06858823    -0.01281814                         0.06759202
    SCEL4_2_2_1_0_1_0/0           1      0.75000000         -0.09173820                     0.00946179    -0.09345969                         0.00842347
    SCEL4_2_2_1_0_1_0/1           1      0.25000000         -0.02685051                     0.04071896    -0.02353640                         0.04515883
    SCEL4_2_2_1_1_1_0/0           1      0.75000000         0.03072950                      0.07944333    0.02514166                          0.07619567
    SCEL4_2_2_1_1_1_0/1           1      0.25000000         -0.06100486                     0.01339548    -0.05922799                         0.01660556
    SCEL4_4_1_1_0_0_0/0           1      0.75000000         -0.04503584                     0.03614885    -0.03216696                         0.04344789
    SCEL4_4_1_1_0_0_0/1           1      0.50000000         0.00084257                      0.10206597    -0.00012344                         0.09915281
    SCEL4_4_1_1_0_0_0/2           1      0.25000000         -0.00705429                     0.05655594    -0.00990288                         0.05606564
    SCEL4_4_1_1_0_0_2/0           1      0.75000000         -0.10660828                     0.00096460    -0.10660448                         0.00091216
    SCEL4_4_1_1_0_0_2/1           1      0.50000000         -0.06309656                     0.05943987    -0.06023556                         0.05907807
    SCEL4_4_1_1_0_0_2/2           1      0.25000000         -0.01161094                     0.05291062    -0.00949324                         0.05639336
    SCEL4_4_1_1_0_0_3/0           1      0.75000000         -0.02977428                     0.04486974    -0.03540653                         0.04159671
    SCEL4_4_1_1_0_0_3/1           1      0.50000000         -0.03937695                     0.07525295    -0.03493155                         0.07594740
    SCEL4_4_1_1_0_0_3/2           1      0.25000000         -0.01638868                     0.04908843    -0.01993509                         0.04803988
    SCEL4_4_1_1_0_1_0/0           1      0.75000000         -0.06269318                     0.02605895    -0.06579944                         0.02422933
    SCEL4_4_1_1_0_1_0/1           1      0.50000000         -0.04704055                     0.07014388    -0.05469503                         0.06277175
    SCEL4_4_1_1_0_1_0/2           1      0.25000000         -0.01975622                     0.04639440    -0.01836773                         0.04929377
    SCEL4_4_1_1_0_2_1/0           1      0.75000000         -0.05610181                     0.02982544    -0.05307200                         0.03150215
    SCEL4_4_1_1_0_2_1/1           1      0.50000000         -0.15225637                     0.00000000    -0.14885265                         0.00000000
    SCEL4_4_1_1_0_2_1/2           1      0.25000000         -0.07774921                     0.00000000    -0.07663281                         0.00268170
    SCEL5_1_1_5_0_0_0/0           1      0.80000000         -0.01392118                     0.04578569    -0.02259330                         0.04182526
    SCEL5_1_1_5_0_0_0/1           1      0.60000000         -0.01006549                     0.07808819    -0.01632106                         0.07312586
    SCEL5_1_1_5_0_0_0/2           1      0.60000000         -0.02458047                     0.06901632    -0.02194753                         0.06960932
    SCEL5_1_1_5_0_0_0/3           1      0.40000000         -0.02586996                     0.06898825    -0.02586508                         0.06817178
    SCEL5_1_1_5_0_0_0/4           1      0.40000000         0.00552708                      0.09141470    0.00642692                          0.09123749
    SCEL5_1_1_5_0_0_0/5           1      0.20000000         -0.00723104                     0.04580694    -0.00697589                         0.04936292
    SCEL5_5_1_1_0_0_3/0           1      0.80000000         -0.06582601                     0.01694968    -0.07679380                         0.01171387
    SCEL5_5_1_1_0_0_3/1           1      0.60000000         -0.10341008                     0.01974782    -0.09776751                         0.02222183
    SCEL5_5_1_1_0_0_3/2           1      0.60000000         -0.06946094                     0.04096603    -0.06376332                         0.04347445
    SCEL5_5_1_1_0_0_3/3           1      0.40000000         -0.04905737                     0.05242581    -0.05471490                         0.04756476
    SCEL5_5_1_1_0_0_3/4           1      0.40000000         -0.01835377                     0.07435695    -0.02584751                         0.06818432
    SCEL5_5_1_1_0_0_3/5           1      0.20000000         -0.00070143                     0.05124828    0.00096160                          0.05597750
    SCEL5_5_1_1_0_0_4/0           1      0.80000000         -0.05730478                     0.02168370    -0.04205589                         0.03101271
