#                  name    selected         comp(a)    formation_energy    hull_dist(MASTER,atom_frac)        clex()    clex_hull_dist(MASTER,atom_frac)
    SCEL1_1_1_1_0_0_0/0           1      1.00000000         -0.00000000                     0.00000000    0.00281069                          0.00000000
    SCEL1_1_1_1_0_0_0/1           1      0.00000000         0.00000000                      0.00000000    -0.01125348                         0.00000000
    SCEL2_2_1_1_0_0_1/0           1      0.50000000         -0.03362458                     0.07908787    -0.02982448                         0.07898083
    SCEL2_2_1_1_0_1_1/0           1      0.50000000         -0.05306719                     0.06612613    -0.05156238                         0.06448890
    SCEL3_3_1_1_0_0_2/0           1      0.66666667         -0.07657772                     0.02815741    -0.08009378                         0.02517850
    SCEL3_3_1_1_0_0_2/1           1      0.33333333         -0.00247946                     0.07507910    0.00289917                          0.07913561
    SCEL3_3_1_1_0_2_1/0           1      0.66666667         -0.11653362                     0.00418387    -0.11609274                         0.00357912
    SCEL3_3_1_1_0_2_1/1           1      0.33333333         -0.07168021                     0.02317854    -0.07092986                         0.02376384
    SCEL3_3_1_1_0_2_2/0           1      0.66666667         0.00297396                      0.07588842    0.00343033                          0.07529296
    SCEL3_3_1_1_0_2_2/1           1      0.33333333         -0.01113396                     0.06858823    -0.01397391                         0.06648081
    SCEL4_2_2_1_0_1_0/0           1      0.75000000         -0.09173820                     0.00946179    -0.09386596                         0.00855561
    SCEL4_2_2_1_0_1_0/1           1      0.25000000         -0.02685051                     0.04071896    -0.02455288                         0.04417738
    SCEL4_2_2_1_1_1_0/0           1      0.75000000         0.03072950                      0.07944333    0.02813642                          0.07827126
    SCEL4_2_2_1_1_1_0/1           1      0.25000000         -0.06100486                     0.01339548    -0.05722481                         0.01803984
    SCEL4_4_1_1_0_0_0/0           1      0.75000000         -0.04503584                     0.03614885    -0.03451021                         0.04247318
    SCEL4_4_1_1_0_0_0/1           1      0.50000000         0.00084257                      0.10206597    -0.00041578                         0.09858664
    SCEL4_4_1_1_0_0_0/2           1      0.25000000         -0.00705429                     0.05655594    -0.00627041                         0.05880336
    SCEL4_4_1_1_0_0_2/0           1      0.75000000         -0.10660828                     0.00096460    -0.10883828                         0.00000000
    SCEL4_4_1_1_0_0_2/1           1      0.50000000         -0.06309656                     0.05943987    -0.06212237                         0.05744891
    SCEL4_4_1_1_0_0_2/2           1      0.25000000         -0.01161094                     0.05291062    -0.01075879                         0.05521266
    SCEL4_4_1_1_0_0_3/0           1      0.75000000         -0.02977428                     0.04486974    -0.03543134                         0.04194682
    SCEL4_4_1_1_0_0_3/1           1      0.50000000         -0.03937695                     0.07525295    -0.03416212                         0.07608907
    SCEL4_4_1_1_0_0_3/2           1      0.25000000         -0.01638868                     0.04908843    -0.01834552                         0.04914327
    SCEL4_4_1_1_0_1_0/0           1      0.75000000         -0.06269318                     0.02605895    -0.06496071                         0.02507290
    SCEL4_4_1_1_0_1_0/1           1      0.50000000         -0.04704055                     0.07014388    -0.05585044                         0.06163020
    SCEL4_4_1_1_0_1_0/2           1      0.25000000         -0.01975622                     0.04639440    -0.01756690                         0.04976617
    SCEL4_4_1_1_0_2_1/0           1      0.75000000         -0.05610181                     0.02982544    -0.05306212                         0.03187209
    SCEL4_4_1_1_0_2_1/1           1      0.50000000         -0.15225637                     0.00000000    -0.14829574                         0.00000000
    SCEL4_4_1_1_0_2_1/2           1      0.25000000         -0.07774921                     0.00000000    -0.07843138                         0.00107458
    SCEL5_1_1_5_0_0_0/0           1      0.80000000         -0.01392118                     0.04578569    -0.02123679                         0.04292683
    SCEL5_1_1_5_0_0_0/1           1      0.60000000         -0.01006549                     0.07808819    -0.01545589                         0.07318573
    SCEL5_1_1_5_0_0_0/2           1      0.60000000         -0.02458047                     0.06901632    -0.02136533                         0.06949233
    SCEL5_1_1_5_0_0_0/3           1      0.40000000         -0.02586996                     0.06898825    -0.02618488                         0.06764458
    SCEL5_1_1_5_0_0_0/4           1      0.40000000         0.00552708                      0.09141470    0.00627229                          0.09082827
    SCEL5_1_1_5_0_0_0/5           1      0.20000000         -0.00723104                     0.04580694    -0.00714099                         0.04910783
